,finish
1494,9
1495,10
1496,11
1497,12
1501,25
1502,25
1503,25
1504,25
1505,25
1506,25
1508,1
1509,2
1510,3
1511,4
1513,6
1515,8
1516,9
1517,10
1518,11
1520,13
1521,14
1523,16
1524,17
1525,18
1526,19
1527,25
1528,25
1529,25
1530,1
1531,2
1533,4
1534,5
1535,6
1536,7
1537,8
1538,9
1539,10
1541,12
1542,13
1544,15
1546,17
1547,25
1548,25
1549,25
1550,25
1552,1
1553,2
1555,4
1556,5
1558,7
1559,8
1560,9
1561,10
1562,11
1563,12
1564,13
1565,14
1567,16
1568,17
1569,18
1570,25
1571,25
1572,25
1573,25
1574,1
1575,2
1576,3
1577,4
1578,5
1579,6
1580,7
1581,8
1582,9
1583,10
1584,11
1585,12
1586,13
1587,14
1588,15
1589,16
1590,25
1591,25
1592,25
1593,25
1595,25
1596,1
1597,2
1598,3
1599,4
1600,5
1601,6
1602,7
1604,9
1605,10
1607,12
1608,13
1609,14
1611,16
1612,17
1613,18
1614,25
1615,25
1617,25
1618,1
1619,2
1621,4
1622,5
1623,6
1624,7
1625,8
1628,11
1629,12
1630,13
1631,14
1632,15
1633,16
1634,17
1635,18
1636,19
1637,20
1639,25
1641,2
1642,3
1643,4
1644,5
1645,6
1646,7
1647,8
1649,10
1652,13
1653,14
1654,15
1655,16
1656,17
1657,25
1658,25
1660,25
1661,25
1662,1
1663,2
1666,5
1667,6
1668,7
1669,8
1670,9
1671,10
1672,11
1673,12
1674,13
1675,14
1677,16
1678,17
1679,18
1680,19
1681,20
1683,25
1687,4
1689,6
1690,7
1691,8
1692,9
1693,10
1694,11
1695,12
1696,13
1697,14
1698,15
1699,16
1700,17
1701,18
1702,19
1703,25
1704,25
1705,1
1706,2
1708,4
1709,5
1710,6
1711,7
1712,8
1713,10
1714,9
1715,11
1716,12
1717,13
1718,14
1721,25
1722,25
1723,1
1724,2
1725,3
1726,4
1728,6
1729,7
1730,8
1732,10
1733,11
1734,12
1735,13
1737,15
1738,16
1739,17
1740,25
1741,1
1742,2
1743,3
1744,4
1745,5
1747,7
1748,8
1749,9
1750,10
1751,11
1752,12
1753,13
1754,14
1755,15
1756,16
1758,25
1759,25
1760,25
1761,1
1762,2
1763,3
1764,4
1765,5
1767,7
1768,8
1770,10
1771,11
1772,12
1775,15
1776,16
1777,17
1778,25
1779,25
1780,25
1781,1
1782,2
1784,4
1787,7
1788,8
1791,11
1793,13
1794,14
1795,15
1797,17
1798,25
1799,25
1800,25
1801,1
1802,2
1803,3
1805,5
1806,6
1807,7
1809,9
1811,11
